"species.id" "species" "genus" "family"
"71" "nordmanniana" "Abies" "Pinaceae"
"68SC" "concolor" "Abies" "Pinaceae"
"70SC" "cephalonica" "Abies" "Pinaceae"
"70SE" "pinsapo" "Abies" "Pinaceae"
"70SB" "nordmanniana" "Abies" "Pinaceae"
"61" "alba" "Abies" "Pinaceae"
"72V" "grandis" "Abies" "Pinaceae"
"29MI" NA "Acacia" "Fabaceae"
"15P" "platanoides" "Acer" "Aceraceae"
"21C" "campestre" "Acer" "Aceraceae"
"21O" "opalus" "Acer" "Aceraceae"
"29EN" "negundo" "Acer" "Aceraceae"
"15S" "pseudoplatanus" "Acer" "Aceraceae"
"21M" "monspessulanum" "Acer" "Aceraceae"
"29MA" "hippocastanum" "Aesculus" "Sapindaceae"
"29AI" "altissima" "Ailanthus" "Simaroubaceae"
"13C" "cordata" "Alnus" "Betulaceae"
"37" "alnobetula" "Alnus" "Betulaceae"
"13G" "glutinosa" "Alnus" "Betulaceae"
"13B" "incana" "Alnus" "Betulaceae"
"40" "unedo" "Arbutus" "Ericaceae"
"12V" "pendula" "Betula" "Betulaceae"
"12P" "pubescens" "Betula" "Betulaceae"
"49BS" "sempervirens" "Buxus" "Buxaceae"
"11" "betulus" "Carpinus" "Betulaceae"
"10" "sativa" "Castanea" "Fagaceae"
"65" "atlantica" "Cedrus" "Pinaceae"
"76" "libani" "Cedrus" "Pinaceae"
"16" "australis" "Celtis" "Cannabaceae"
"49CS" "siliquastrum" "Cercis" "Fabaceae"
"68CL" "lawsoniana" "Chamaecyparis" "Cupressaceae"
"49CA" "sinensis" "Citrus" "Rutaceae"
"39" "mas" "Cornus" "Cornaceae"
"31" "avellana" "Corylus" "Betulaceae"
"49AA" "azarolus" "Crataegus" "Rosaceae"
"49AE" "laevigata" "Crataegus" "Rosaceae"
"49AM" "monogyna" "Crataegus" "Rosaceae"
"68CJ" "japonica" "Cryptomeria" "Cupressaceae"
"66" "sempervirens" "Cupressus" "Cupressaceae"
"68CM" "macrocarpa" "Cupressus" "Cupressaceae"
"68CA" "arizonica" "Cupressus" "Cupressaceae"
"49C" "oblonga" "Cydonia" "Rosaceae"
"49EA" "arborea" "Erica" "Ericaceae"
"36" NA "Eucalyptus" "Myrtaceae"
"49EV" "europaeus" "Euonymus" "Celastraceae"
"09" "sylvatica" "Fagus" "Fagaceae"
"23F" "carica" "Ficus" "Moraceae"
"49BO" "dodonei" "Frangula" "Rhamnaceae"
"17C" "excelsior" "Fraxinus" "Oleaceae"
"17O" "angustifolia" "Fraxinus" "Oleaceae"
"17F" "ornus" "Fraxinus" "Oleaceae"
"49IA" "aquifolium" "Ilex" "Aquifoliaceae"
"27N" "nigra" "Juglans" "Juglandaceae"
"27C" "regia" "Juglans" "Juglandaceae"
"69" "thurifera" "Juniperus" "Cupressaceae"
"69JC" "communis" "Juniperus" "Cupressaceae"
"69JO" "oxycedrus" "Juniperus" "Cupressaceae"
"38AU" "anagyroides" "Laburnum" "Fabaceae"
"38AL" "alpinum" "Laburnum" "Fabaceae"
"74H" "marschlinsii" "Larix" "Pinaceae"
"74J" "kaempferi" "Larix" "Pinaceae"
"63" "decidua" "Larix" "Pinaceae"
"49LN" "nobilis" "Laurus" "Lauraceae"
"29LI" "styraciflua" "Liquidambar" "Altingiaceae"
"42" "tulipifera" "Liriodendron" "Magnoliaceae"
"23PM" "sylvestris" "Malus" "Rosaceae"
"49MB" "alba" "Morus" "Moraceae"
"28" "europaea" "Olea" "Oleaceae"
"32" "carpinifolia" "Ostrya" "Betulaceae"
"49FL" "latifolia" "Phillyrea" "Oleaceae"
"73" "sitchensis" "Picea" "Pinaceae"
"68EO" "omorika" "Picea" "Pinaceae"
"62" "abies" "Picea" "Pinaceae"
"52" "sylvestris" "Pinus" "Pinaceae"
"53CA" "laricio" "Pinus" "Pinaceae"
"51" "pinaster" "Pinus" "Pinaceae"
"53CO" "laricio" "Pinus" "Pinaceae"
"53S" "nigra" "Pinus" "Pinaceae"
"58" "uncinata" "Pinus" "Pinaceae"
"59" "cembra" "Pinus" "Pinaceae"
"68PM" "radiata" "Pinus" "Pinaceae"
"54" "nigra" "Pinus" "Pinaceae"
"68PC" "contorta" "Pinus" "Pinaceae"
