idp;a;veget5
500027 ;22;N
500038 ;1;N
500038 ;2;N
500038 ;3;N
500038 ;4;N
500038 ;5;N
500038 ;6;N
500038 ;7;N
500038 ;8;N
500038 ;9;N
500038 ;10;N
500038 ;11;N
500038 ;12;N
500038 ;13;N
500038 ;14;N
500038 ;15;N
500038 ;16;N
500098 ;9;M
500098 ;10;M
500137 ;3;A
500192 ;17;6
500222 ;11;M
500222 ;14;M
500271 ;4;6
500271 ;6;6
500271 ;7;6
500271 ;10;6
500271 ;11;6
500303 ;1;6
500303 ;10;6
500312 ;8;M
500324 ;4;M
500332 ;5;M
500332 ;11;M
500347 ;11;M
500414 ;11;A
500414 ;16;M
500414 ;22;M
500414 ;25;M
500596 ;1;M
500596 ;4;M
500596 ;9;M
500596 ;13;M
500596 ;14;M
500596 ;16;M
500596 ;17;M
500596 ;22;M
500596 ;25;M
500653 ;7;M
500675 ;6;M
500675 ;8;M
500675 ;12;M
500675 ;18;M
500675 ;22;M
500675 ;23;M
500675 ;25;M
500675 ;26;M
500735 ;1;M
500735 ;2;M
500735 ;7;M
500769 ;6;M
500793 ;4;M
500832 ;7;A
500928 ;2;6
501004 ;1;M
501004 ;11;M
501113 ;9;N
501216 ;6;M
501216 ;8;M
501216 ;24;M
501216 ;32;M
501216 ;33;M
501289 ;12;6
501291 ;1;M
501291 ;2;M
501291 ;13;M
501429 ;4;M
501462 ;3;M
501462 ;5;M
501462 ;6;M
501462 ;7;M
501462 ;9;M
501462 ;10;M
501462 ;15;M
501462 ;16;M
501462 ;17;M
501462 ;20;M
501480 ;2;M
501524 ;2;M
501554 ;3;M
501554 ;4;M
501554 ;13;M
501554 ;18;M
501554 ;26;M
501554 ;27;M
501554 ;33;M
501612 ;5;M
501612 ;14;M
501612 ;15;M
501612 ;25;M
501612 ;27;M
501612 ;35;M
501699 ;16;M
501699 ;20;M
501704 ;6;M
501704 ;15;M
501704 ;16;M
501720 ;7;M
501725 ;1;M
501725 ;4;M
501725 ;5;M
501725 ;7;M
501725 ;19;M
501827 ;7;M
501827 ;9;A
501827 ;10;A
501827 ;11;A
501918 ;5;M
501921 ;1;M
501933 ;4;N
501933 ;11;N
502008 ;17;M
502077 ;2;M
502092 ;15;6
502104 ;3;M
502104 ;5;M
502104 ;7;M
502118 ;6;M
502118 ;7;M
502118 ;8;M
502118 ;9;M
502123 ;9;M
502123 ;12;M
502123 ;13;M
502147 ;4;M
502290 ;6;M
502290 ;7;M
502339 ;1;N
502339 ;2;N
502339 ;3;N
502339 ;4;N
