idp;a;veget5;c135
500980 ;1;0;1.11
500980 ;2;0;1.27
500980 ;3;0;1.2
500980 ;4;0;1.18
501279 ;1;6;
501279 ;2;6;
501279 ;3;0;0.35
501279 ;4;6;
501279 ;8;6;
501279 ;9;A;0.72
501279 ;11;0;0.36
501279 ;14;0;0.39
501279 ;15;0;0.42
501279 ;16;6;
501279 ;17;6;
501279 ;18;6;
501279 ;19;6;
501279 ;20;6;
501279 ;21;6;
501780 ;1;0;1.55
501780 ;2;0;1.47
501780 ;3;0;1.62
501780 ;4;0;1.44
502162 ;1;0;1.4
502162 ;2;0;1.51
502162 ;3;0;1.85
502162 ;4;0;1.83
502162 ;5;0;0.5
502162 ;6;0;0.37
502162 ;7;0;0.27
502162 ;8;0;0.33
502162 ;9;0;0.3
502162 ;10;0;0.35
502162 ;11;0;0.5
502409 ;1;0;0.98
502409 ;2;0;1.06
502409 ;3;0;0.94
502409 ;4;0;0.95
503141 ;1;6;
503141 ;2;6;
503141 ;3;6;
503141 ;4;6;
503477 ;1;6;
503477 ;2;6;
503477 ;3;6;
503477 ;4;6;
503859 ;1;0;1.64
503859 ;2;0;1.1
503859 ;3;0;1.45
503859 ;4;M;1.61
503859 ;6;0;0.68
503859 ;7;0;0.44
504892 ;1;0;0.85
504892 ;2;0;1.78
504892 ;3;0;1.42
504892 ;4;0;0.29
504892 ;5;0;0.33
504892 ;7;0;0.27
504892 ;8;0;0.29
504892 ;9;0;0.32
504892 ;10;0;0.54
504892 ;11;0;0.94
504892 ;12;0;0.78
504892 ;13;0;3.65
505077 ;1;0;1.52
505077 ;2;0;1.72
505077 ;3;0;1.35
505249 ;1;0;1.13
505249 ;2;0;0.82
505249 ;3;0;1.34
505249 ;4;0;1.07
505877 ;1;0;1.53
505877 ;2;0;1.46
505877 ;3;0;1.48
505877 ;5;0;0.98
505877 ;6;0;0.79
505877 ;7;0;0.49
506072 ;1;0;1.41
506072 ;2;6;
506072 ;3;0;1.52
506072 ;4;0;1.16
506072 ;5;0;0.3
506164 ;1;0;1.24
506164 ;2;0;1.22
506164 ;3;0;1.41
506164 ;4;0;1.4
506164 ;5;A;0.35
506164 ;6;A;0.43
506164 ;7;0;0.38
506164 ;8;0;0.53
506164 ;9;0;0.3
506164 ;10;0;0.31
506245 ;1;0;1.26
506245 ;2;0;1.09
506245 ;3;0;1.09
506245 ;4;0;1.1
506724 ;1;M;1.77
506724 ;2;0;0.79
506724 ;3;0;1.3
506724 ;4;A;1.52
506724 ;6;M;0.32
506724 ;7;M;0.34
506724 ;8;0;0.46
506724 ;9;0;0.43
506724 ;10;0;0.45
506724 ;11;0;0.36
506724 ;12;0;0.45
506724 ;13;M;0.37
506724 ;14;0;0.36
506724 ;15;0;0.39
506724 ;16;0;0.37
506908 ;1;M;0.96
506908 ;2;0;0.41
506908 ;3;0;0.26
506908 ;4;0;0.26
506908 ;5;0;1.3
506908 ;6;0;0.34
506908 ;7;0;1.48
506908 ;8;0;0.55
506908 ;9;0;1.1
506908 ;10;0;1.3
506908 ;11;A;0.97
507126 ;1;6;
507126 ;2;6;
507126 ;3;6;
507126 ;4;6;
507126 ;5;6;
507126 ;6;6;
507126 ;7;6;
507126 ;8;0;0.54
507126 ;9;0;0.42
507126 ;10;0;0.5
507126 ;11;0;1.23
507144 ;1;0;0.81
507144 ;2;0;0.98
507144 ;3;0;0.56
507144 ;4;0;0.71
507144 ;5;0;0.39
507144 ;6;0;0.26
507144 ;7;0;0.32
507144 ;8;0;0.37
507386 ;1;0;0.51
507386 ;2;0;0.47
507386 ;3;0;0.44
507386 ;4;0;1.29
507386 ;5;0;0.53
507386 ;6;0;1.6
507386 ;7;0;1.6
507386 ;8;0;0.51
507386 ;9;0;1.18
507386 ;10;0;0.29
507386 ;11;M;1.39
507386 ;12;0;1.29
507386 ;13;M;0.24
507386 ;14;0;1.44
507386 ;15;0;0.67
507386 ;16;0;0.39
508449 ;1;0;1.42
508449 ;2;0;1.6
508449 ;3;0;1.66
508449 ;4;0;1.35
508801 ;1;0;0.93
508801 ;2;0;0.92
508801 ;3;0;0.89
508801 ;4;0;0.7
508967 ;1;0;1
508967 ;2;0;0.68
508967 ;3;0;0.84
508967 ;4;0;0.68
508967 ;5;0;0.41
508967 ;6;0;0.41
508967 ;7;0;0.33
508967 ;8;0;0.36
508967 ;9;0;0.29
508967 ;10;0;0.39
508967 ;11;0;0.31
508967 ;12;0;0.28
508967 ;13;0;0.34
509351 ;1;0;0.82
509351 ;2;0;0.65
509351 ;3;0;0.81
509351 ;4;0;0.68
509351 ;5;0;0.39
509377 ;1;0;1.28
509377 ;2;0;0.79
509377 ;3;0;1.39
509377 ;4;0;1.16
509498 ;1;M;0.61
509498 ;2;0;0.43
509498 ;3;6;
509498 ;4;6;
509582 ;1;6;
509582 ;2;6;
509582 ;3;6;
509582 ;4;6;
509648 ;1;6;
509648 ;2;6;
509648 ;3;6;
509648 ;4;6;
509777 ;1;0;0.92
509777 ;2;0;1.29
509777 ;3;0;1.37
509777 ;4;0;1.36
509777 ;5;0;0.35
509777 ;6;0;0.3
509777 ;7;0;0.4
