idp;a;veget5
501279 ;5;M
501279 ;6;6
501279 ;7;6
501279 ;10;6
501279 ;12;M
501279 ;13;6
502162 ;12;M
503859 ;5;M
504892 ;6;M
506724 ;5;M
509582 ;5;6
512897 ;4;M
516829 ;1;6
516829 ;2;6
517267 ;6;M
517267 ;11;M
517267 ;13;M
519479 ;5;M
526621 ;10;6
526621 ;11;6
526621 ;12;6
530185 ;7;M
530185 ;9;A
530185 ;10;A
530185 ;19;M
533168 ;5;6
535633 ;9;M
535633 ;10;N
537396 ;1;6
537396 ;4;N
547004 ;1;N
547004 ;3;N
553063 ;5;M
575845 ;10;6
578669 ;8;M
578968 ;6;6
578968 ;7;6
578968 ;9;6
578968 ;11;6
578968 ;12;6
579306 ;14;M
582741 ;3;M
582741 ;4;N
583083 ;16;A
600088 ;4;A
600088 ;10;M
607026 ;6;M
609779 ;5;M
609779 ;6;A
609779 ;7;A
609779 ;13;M
609779 ;20;M
611071 ;2;6
611071 ;5;6
611071 ;8;6
611071 ;9;6
612164 ;5;6
612829 ;1;M
612829 ;8;A
612829 ;10;A
615325 ;3;M
617607 ;6;6
617607 ;11;M
617607 ;12;6
617607 ;16;M
617607 ;17;6
617607 ;22;6
618025 ;2;M
618139 ;5;6
618139 ;6;6
618139 ;7;6
626447 ;7;M
628427 ;5;6
630624 ;7;M
630624 ;10;M
634687 ;15;M
639218 ;9;N
640817 ;5;6
646461 ;7;6
646461 ;8;6
646461 ;9;6
649526 ;18;M
649526 ;20;M
649526 ;22;M
654837 ;6;M
654837 ;7;M
654837 ;17;6
657462 ;13;M
662402 ;15;M
664241 ;5;M
664241 ;6;M
664241 ;7;M
664241 ;9;M
668156 ;5;M
671989 ;4;M
679835 ;5;6
680082 ;5;A
680552 ;5;M
680552 ;14;M
680552 ;15;M
680552 ;18;M
680552 ;22;M
680552 ;25;M
680552 ;29;M
680552 ;30;M
707577 ;5;6
709566 ;19;6
713316 ;5;A
713316 ;9;A
715447 ;6;M
720559 ;6;6
720559 ;8;6
720559 ;10;6
722654 ;8;6
722654 ;10;6
722654 ;23;6
722744 ;29;N
722884 ;1;M
722884 ;4;M
722993 ;5;M
724588 ;3;M
724588 ;4;M
724588 ;5;A
724588 ;10;A
724588 ;11;A
726314 ;5;N
726748 ;3;N
726748 ;4;N
726748 ;5;N
727333 ;8;M
730662 ;5;6
730662 ;6;6
730662 ;7;6
730662 ;8;6
730662 ;9;6
730662 ;10;6
730662 ;11;6
730662 ;12;6
741003 ;3;A
741962 ;17;M
744405 ;12;A
744420 ;3;6
747457 ;2;N
747598 ;8;A
750645 ;5;6
751542 ;1;6
756378 ;8;N
756928 ;5;N
758157 ;2;M
758363 ;13;M
761499 ;8;M
761499 ;10;M
761499 ;11;M
761499 ;12;M
761499 ;13;N
763769 ;2;M
763769 ;3;M
763769 ;4;A
763769 ;9;M
763961 ;2;M
767194 ;2;N
767401 ;5;N
767401 ;13;M
767401 ;19;T
771726 ;4;6
771726 ;6;6
771726 ;12;6
771726 ;20;6
773448 ;5;M
773908 ;1;M
773908 ;4;M
773908 ;9;A
775288 ;5;M
807362 ;1;A
807362 ;16;M
810128 ;31;M
810225 ;5;6
811320 ;3;A
823496 ;9;6
823538 ;7;A
823538 ;10;A
826953 ;3;M
826995 ;8;M
830911 ;5;6
833153 ;2;6
838345 ;2;A
838345 ;6;A
838345 ;8;A
845566 ;10;A
845566 ;11;A
846765 ;2;M
846765 ;5;A
846765 ;6;A
846765 ;8;M
846765 ;9;M
857797 ;5;N
863899 ;5;M
863899 ;6;M
872054 ;12;N
876127 ;9;A
880370 ;4;A
880370 ;17;A
902545 ;6;6
904261 ;2;M
907843 ;7;M
908589 ;13;M
908589 ;15;M
919051 ;11;M
919051 ;13;M
919051 ;18;M
921096 ;8;M
921096 ;9;6
922695 ;5;6
926644 ;3;2
930923 ;5;T
931119 ;3;2
932259 ;7;6
932259 ;8;6
932574 ;10;N
936121 ;1;6
940390 ;7;2
940390 ;9;2
940390 ;11;2
944454 ;3;6
944454 ;5;6
948734 ;5;T
948734 ;10;T
948734 ;15;M
952016 ;6;6
955359 ;20;M
955359 ;25;M
955359 ;28;M
957237 ;5;6
957237 ;6;6
963695 ;2;6
963695 ;4;6
963695 ;5;6
963695 ;6;6
963695 ;8;6
963695 ;12;6
963695 ;13;6
966307 ;7;M
